solverid,instanceid,runtime,status,score,vresult
anders_satsuma-iter-kissat[main],1707c4c24e66b2cfe6c03955b638bebf,5000.26,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],ca7f7824a958b98512a0c96d73251f8b,5000.37,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],ad5b80bb4d1b60bee12163df25846801,5000.41,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],a110c13186ef5785df8da4bfa2ce9a6d,5000.12,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],d418605014fdeb1236bfa720ac460c62,5000.52,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],8d2b018a5f8855b6ba1868a3ffff9d2f,5000.29,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],776ff89b72b0f6290d69af6f95e13182,540.63,sat-verified,540.63,sat
anders_satsuma-iter-kissat[main],d5949f26c5c5128ef2d4ac4d3b432cc2,4451.65,sat-verified,4451.65,sat
anders_satsuma-iter-kissat[main],4de5b7b3c8bf44b2e8c549128bc936a3,2261.12,sat-verified,2261.12,sat
anders_satsuma-iter-kissat[main],a78606fdfd6cf6ee8358bd35fa833be6,5000.59,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],aa62e8cb5d38ac1b2d9eeeb8394eadeb,445.94,sat-verified,445.94,sat
anders_satsuma-iter-kissat[main],ad6bc2d583c43ff9ef00faad7e29a9c2,175.69,sat-verified,175.69,sat
anders_satsuma-iter-kissat[main],22465e251284b8f3e48bf9a06a94855c,5000.76,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],3b0eeddcabf36da8642c5774ac67680c,4224.04,sat-verified,4224.04,sat
anders_satsuma-iter-kissat[main],3732b6ac50b1c3f28d72247de89b00e8,2830.98,sat-verified,2830.98,sat
anders_satsuma-iter-kissat[main],4430d3502b0b5e6f4ed473437519e609,1898.10,sat-verified,1898.10,sat
anders_satsuma-iter-kissat[main],2ae678a4f0b8097615160a440efbe08e,745.79,sat-verified,745.79,sat
anders_satsuma-iter-kissat[main],5d02aa18eac7304c705577f1cce07784,41.65,sat-verified,41.65,sat
anders_satsuma-iter-kissat[main],ca18feb7d2bb6bee7a8ab28673fe1d62,5000.08,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],0d0fabe0fbca67a8740ebe8b8621d465,5000.08,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],6f1b15ebd0ac13c05fb052e5b0453f64,236.77,sat-verified,236.77,sat
anders_satsuma-iter-kissat[main],8d0d8518a438d93428257d9a38863c3c,18.97,sat-verified,18.97,sat
anders_satsuma-iter-kissat[main],44452f4bac1e77157bbc900c5cc0756d,61.73,sat-verified,61.73,sat
anders_satsuma-iter-kissat[main],808d66b11c602eb1d5728f3f8e90aaef,204.15,sat-verified,204.15,sat
anders_satsuma-iter-kissat[main],2563ea83d8508d635cc034d80014cd72,5000.12,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],aa0eadb6c4935468fd6954e23a550504,3153.52,sat-verified,3153.52,sat
anders_satsuma-iter-kissat[main],2c4491c50d4df86e7c1838083cedc703,3445.49,sat-verified,3445.49,sat
anders_satsuma-iter-kissat[main],a4eec7a5fef59547129822f6b513d54c,4903.43,sat-verified,4903.43,sat
anders_satsuma-iter-kissat[main],8caa9b4b72b5f1782fe4554980978cbc,1526.55,sat-verified,1526.55,sat
anders_satsuma-iter-kissat[main],e5066e18b03451d92863160ed8166bdf,4458.84,sat-verified,4458.84,sat
anders_satsuma-iter-kissat[main],c62a1855a4db8ae0b4bd625455332a4c,4231.75,sat-verified,4231.75,sat
anders_satsuma-iter-kissat[main],147ae051ca727d5b2af87223b2299fbe,461.96,sat-verified,461.96,sat
anders_satsuma-iter-kissat[main],f604f43d1f5525f3dab4090190adbc66,5000.06,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],02a46668243d6dabab4cf74d3811f6b6,2216.57,sat-verified,2216.57,sat
anders_satsuma-iter-kissat[main],44b7d2c8d08574002ac959e6d1ef30ae,5000.03,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],da6fae94ae1b1cedcced7169df02a762,4254.22,sat-verified,4254.22,sat
anders_satsuma-iter-kissat[main],5f729f069a233fa88dfb470bbee7c924,3242.68,sat-verified,3242.68,sat
anders_satsuma-iter-kissat[main],9a4837429c656a71283b8d5bb41c05a7,1142.77,sat-verified,1142.77,sat
anders_satsuma-iter-kissat[main],dbbcaa7797145dfddfa4fe73ce91fdec,5000.09,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],aa2e02360b19c83da68e39e39c530923,5000.13,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],3b560b9eafce79a4ac3c1062a9e72028,831.09,sat-verified,831.09,sat
anders_satsuma-iter-kissat[main],5f9d0127b390a4686171311d38f3fbf8,5000.09,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],9541d12f3e3d9201085c13f25145d2f7,737.92,sat-verified,737.92,sat
anders_satsuma-iter-kissat[main],07df5e6f674201e2bf31bcaa8866ba75,5000.11,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],af9c2fb7046eb845f185c64cd9dd1006,5000.25,solver-timeout,10000.00,
anders_satsuma-iter-kissat[main],49644428681a87666a68fc9380dce072,5000.12,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],da34db9ea6b524f13708357f38432bb6,718.07,sat-verified,718.07,sat
anders_satsuma-iter-kissat[main],9376a4be372c14aa68235831712ff3f9,474.54,sat-verified,474.54,sat
anders_satsuma-iter-kissat[main],8456155de4cd22425ec479f75af089c2,5000.24,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],1b9c308123cb2b48d1894fc6d1848f1e,450.35,sat-verified,450.35,sat
anders_satsuma-iter-kissat[main],5e1f1759de9bf931a8e26dbe7dd5b212,656.05,sat-verified,656.05,sat
anders_satsuma-iter-kissat[main],31fa00368fc99b15c33c04eb6b257deb,212.47,sat-verified,212.47,sat
anders_satsuma-iter-kissat[main],ef063cf2e17dd6472f514ab549a5eed5,2830.05,sat-verified,2830.05,sat
anders_satsuma-iter-kissat[main],c300445f0f756c8f5d6571ebf0bb6edc,5000.24,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],e685a5d96e1ee9e051f191eca84b0d88,4424.66,unsat-verified,4424.66,unsat
anders_satsuma-iter-kissat[main],12535b3264a9c88bac14522171b497ef,5000.09,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],2a38c5d48846ee1c35c4c40938082a16,4612.95,unsat-verified,4612.95,unsat
anders_satsuma-iter-kissat[main],211b0708454f7901054f5f92f525972e,5000.12,solver-timeout,10000.00,unsat
anders_satsuma-iter-kissat[main],5ab5ac8d66c7e375037f12a536baf721,4324.06,unsat-verified,4324.06,unsat
anders_satsuma-iter-kissat[main],27495ba0093076d2e39a9b218e521ee2,4591.88,unsat-verified,4591.88,unsat
anders_satsuma-iter-kissat[main],e305def35c314eec8266087e89a9ab46,735.15,sat-verified,735.15,sat
anders_satsuma-iter-kissat[main],1236c1406a2749b8022b5196e93de589,442.09,sat-verified,442.09,sat
anders_satsuma-iter-kissat[main],2b8cac8e1f5cad04696004e7fbf5cf2e,73.22,sat-verified,73.22,sat
anders_satsuma-iter-kissat[main],dc691557cfebca28aefe7360768389e5,5000.08,solver-timeout,10000.00,sat
anders_satsuma-iter-kissat[main],3a9dfcbcb56689f1118fd7a2150c3c0c,5000.21,solver-timeout,10000.00,sat
